gene_id,MPANC_CON-DMSO-1_S1,MPANC_CON-DMSO-2_S2,MPANC_CON-Gem-1_S3,MPANC_CON-Gem-2_S4,MPANC_KO-DMSO-1_S9,MPANC_KO-DMSO-2_S10,MPANC_KO-Gem-1_S11,MPANC_KO-Gem-2_S12,PANC1_CON-DMSO-1_S1,PANC1_CON-DMSO-2_S2,PANC1_CON-Gem-1_S3,PANC1_CON-Gem-2_S4,PANC1_KO-DMSO-1_S9,PANC1_KO-DMSO-2_S10,PANC1_KO-Gem-1_S11,PANC1_KO-Gem-2_S12
ENSG00000250862.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000053770.11,609,681,713,660,686,859,702,668,537,657,591,567,769,695,793,821
ENSG00000141258.12,1934,1694,1789,1824,2353,2629,2190,1987,1184,811,895,865,1554,1471,1450,1390
ENSG00000223711.1,4,4,4,0,3,4,2,3,0,0,0,0,0,2,0,3
ENSG00000263841.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000252263.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228440.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000258647.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180767.9,71,66,58,67,60,41,74,75,7,11,8,17,39,45,38,39
ENSG00000118402.5,0,0,0,0,0,0,0,0,39,33,28,45,0,0,0,0
ENSG00000271171.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213026.4,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0
ENSG00000259005.1,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0
ENSG00000229511.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000119699.7,8,0,21,14,12,10,19,11,75,60,100,69,8,13,16,19
ENSG00000156256.14,1154,1183,1089,1135,1255,1420,1166,1285,1021,1037,959,926,1022,1073,1014,1039
ENSG00000283490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279005.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231852.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182307.12,4013,3975,3062,3054,3349,3601,1294,3389,1216,1349,1213,1352,3067,2991,3071,3338
ENSG00000259782.2,0,0,0,0,2,0,0,1,0,0,0,3,0,1,0,2
ENSG00000276434.1,6,5,7,12,7,12,7,10,2,1,1,1,14,8,11,15
ENSG00000225181.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226636.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226776.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000259011.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000133612.18,2907,2679,2376,2478,2590,3171,2529,2548,1604,1647,1598,1527,2049,2172,1954,1982
ENSG00000237556.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171773.2,1,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0
ENSG00000273573.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237447.1,8,4,6,7,2,2,9,2,16,9,5,7,4,4,7,7
ENSG00000227371.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000254315.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000160469.16,44,35,68,53,79,73,87,71,148,161,178,205,58,50,59,60
ENSG00000144712.11,4,8,8,4,4,8,0,7,3,4,5,0,5,9,4,7
ENSG00000224656.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164708.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000241941.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ENSG00000249987.1,0,1,1,2,0,2,1,1,0,1,1,0,0,1,2,0
ENSG00000227365.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271378.1,0,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0
ENSG00000122477.12,10,13,31,17,34,13,22,19,20,24,13,9,31,18,22,26
ENSG00000226220.1,5,3,2,2,2,1,1,1,4,1,1,1,3,3,2,2
ENSG00000145293.15,919,885,862,796,694,805,721,885,1163,1233,1093,1234,593,583,639,654
ENSG00000282863.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
