sgRNA,Gene,cont1,cont2,cont3,gemc1,gemc2,gemc3
PHF12-sg8,PHF12,0,422.8038312,0,0,0,0
UBR7-sg13,UBR7,247.1095742,8.80841315,21.57342162,0,0,0
PRKDC-sg8,PRKDC,914.8713242,1620.74802,0.653740049,361.3488913,3599.022268,176.3621227
NOC2L-sg1,NOC2L,111.293625,0,2182.184284,0,1201.490401,370.9686028
KDM2A-sg7,KDM2A,133.9296165,926.3514496,394.8589896,126.2544319,2133.258468,212.8508377
SFMBT1-sg8,SFMBT1,0,2525.078436,113.7507685,196.7827697,0,0
RPS19BP1-sg13,RPS19BP1,528.1731356,0,7.191140539,2570.366089,0,0
NAA10-sg13,NAA10,0,0,0,0,0,0
SIRT2-sg6,SIRT2,245.2232415,606.3124385,412.5099709,3214.699052,0,0
TOX4-sg11,TOX4,160.3382733,82.21185607,48.37676363,0,0,0
MECP2-sg9,MECP2,0,158.5514367,471.3465753,0,0,0
MEAF6-sg12,MEAF6,0,83.67992493,0,0,0,562.5343567
DPF2-sg13,DPF2,1152.549235,31776.35044,290.2605818,13.93152352,0,92.74215071
FBXW9-sg2,FBXW9,33.95398729,860.288351,0,0,277.8957391,0
NCOA6-sg5,NCOA6,56.58997882,921.947243,0.653740049,1414.920357,0,1.520363126
BRCC3-sg3,BRCC3,271.6318983,1.468068858,211.8117759,80.97698046,0,0
CBX3-sg10,CBX3,0,0,39.22440294,0,0,0
UBA7-sg11,UBA7,835.6453539,452.1652084,93.48482701,174.144044,0,7.601815632
STK31-sg8,STK31,275.4045636,1553.216852,1098.937022,0,247.9265907,2858.282677
KDM8-sg2,KDM8,322.5628793,113.0413021,381.1304486,2.61216066,1615.609542,1382.010082
MGMT-sg4,MGMT,0,340.5919751,12.42106093,828.9256494,0,0
PRDM11-sg9,PRDM11,1695.813032,140.9346104,198.0832349,407.497063,0,183.9639383
KDM1A-sg13,KDM1A,156.5656081,0,620.3993065,1993.949304,0,0
NAT10-sg7,NAT10,0,63.12696091,358.2495469,0,0,182.4435752
SETD8-sg8,SETD8,205.6102564,0,153.6289115,0,299.6914833,183.9639383
CHD1L-sg13,CHD1L,24.52232415,538.781271,35.9557027,89.68418266,0,0
GTF3C5-sg5,GTF3C5,0,0,0,0,0,141.3937707
EHMT2_3,EHMT2,0,0,0,0,0,253.9006421
PARP2-sg7,PARP2,247.1095742,397.8466606,106.559628,0,0,488.0365636
KAT7-sg9,KAT7,220.7009174,463.9097592,65.3740049,80.10626024,0,393.7740497
ART1-sg2,ART1,130.1569513,0,0,0.87072022,0,0
ARID1A-sg8,ARID1A,1452.476123,844.1395935,3503.392923,1308.692491,9625.54555,4066.971363
WDR61-sg6,WDR61,169.7699365,148.2749547,84.33246632,0,0,0
PADI4-sg3,PADI4,880.9173369,199.6573647,39.87814299,3803.305921,2.72446803,0
JAK2-sg4,JAK2,165.9972712,54.31854776,106.559628,149.7638778,0,0
TFPT-sg10,TFPT,177.315267,0,179.7785135,0,316.0382915,13.68326814
