GeneID,LORD_MCF10ATP53/RB1mut_Olaparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRn,LORD_MCF10A TP53mut_Talazoparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRi,LORD_MCF10ATP53mut_Talazoparib_CRISPRi,Olivieri_RPE1_Olaparib_CRISRPn,Zimmerman_HELA_Olaparib_CRISPRn,DeWeirdt_A375_Talazoparib_CRISPRn
ABCG4,-0.0537277,0.6507478,0.6842676,-1.1280641,-0.6257524,0.457463,1.2442803,0.095169
ABCG5,-0.9039736,1.1326301,0.4034977,0.5619851,-1.2829253,1.3321943,-0.0244237,1.0681839
ABCG8,-0.6534217,0.2364526,0.652321,-0.0832328,-0.7744913,0.6713579,-0.9903846,-0.7213131
ABHD1,1.1594452,0.2253612,0.31763,-1.5589307,0.0369124,-0.0605491,0.1292236,2.202322
ABHD10,-2.054386,0.9778647,-0.4192563,0.9122113,0.8570257,1.1915843,-0.1166304,0.9965917
ABHD11,0.2278964,-0.3061763,0.4061886,0.9782892,-0.842964,1.1553486,0.0145142,0.0118026
ABHD12,0.6825922,0.5740275,0.7122972,0.0146626,0.3565667,0.5195878,0.8447421,-0.3197505
ABHD12B,-0.0948419,0.7654853,0.0343955,0.2238693,0.7604937,0.5008398,1.4022032,0.6095141
ABHD13,0.8167627,0.7040767,1.8293539,0.0425051,-0.0733453,-1.0152515,-0.4401211,-0.0997151
ABHD14A,0.6328932,0.9042708,0.8970552,-0.6376488,-0.7333195,-1.3216331,0.1099391,-0.7893268
ABHD14B,0.5788713,1.140902,0.4985067,1.3710426,0.6225598,-0.7145006,-1.4793282,-1.0477741
ABHD15,-0.7511057,0.5647123,0.4537045,-0.341573,1.1321902,-0.4677121,-1.0951147,1.0407484
ABHD16A,0.6248586,-0.2924633,0.7893611,0.7933464,-1.0619577,-0.2243016,0.46787,-0.3277037
ABHD16B,-0.1233316,0.1277345,0.0761783,1.1542752,0.1421014,-0.4114412,0.5778417,0.1678583
ABHD17A,-1.3601763,-0.4661147,-0.8749211,0.381714,0.1681007,1.8419376,,-2.2497877
ABHD17B,1.9021728,-4.2401508,-0.1140301,0.032141,2.5143492,0.2531081,-0.1392321,-0.1873194
ABHD17C,0.6720079,0.4859894,0.5670347,-1.0755998,0.5225069,0.2082028,-0.1579962,0.1754512
ABHD2,0.5342149,1.1962624,1.069938,0.2267712,1.2074733,1.8066804,0.1368203,-0.4333925
ABHD3,1.411409,1.1883483,0.4471563,-2.2761971,-0.3890419,-0.2730832,-0.1211377,0.9023839
ABHD4,1.5970973,-0.2564598,0.9806565,-0.4940632,0.3403631,0.457463,-1.1303925,0.0618065
ABHD5,-0.6194885,1.1252854,2.9520176,-0.3276596,0.1350309,-0.5222193,-0.438711,-0.4167538
ABHD6,0.1906368,0.1953694,0.0507333,0.7994479,0.5297925,0.1538293,1.4326226,0.1536885
ABHD8,0.3425777,0.5686071,1.1823725,-0.398282099999999,0.2649748,0.6074833,-2.6159451,0.7267643
ABI1,-0.5457947,-0.3309095,-1.4265328,-0.0303019,-2.2682931,-0.4231343,0.9512952,-1.2382394
ABI2,1.0286936,-1.1512975,-0.2234828,-0.2367358,-0.1909203,-1.4518905,-0.2691441,0.018203
ABI3,-0.3899415,0.4506554,0.7327995,0.9284522,-0.3372173,2.0303151,-1.3624033,1.0724561
ABI3BP,-0.2227935,-1.4858338,-0.6725615,0.8542606,-0.51391,-0.5432198,-1.6823676,0.3344447
ABL1,1.6454562,0.8073398,-0.0694199,-0.0159575,0.2146428,0.6628724,0.9892327,0.2193259
ABL2,0.6843881,-0.1864369,0.2237167,-0.5539427,0.5616948,-0.0795156,-0.2173137,0.3573539
ABLIM1,1.5510101,0.6018144,-2.0472013,-0.3333952,-0.1975643,0.7434954,1.2510495,0.1610365
ABLIM2,1.1771275,-0.0291189,0.5870252,0.2379048,-0.5199888,-2.3674485,1.0665885,-1.4647144
ABLIM3,1.6672679,1.4974563,-0.2425365,1.1378484,0.6234844,1.863127,-0.1545386,2.5319499
ABO,,,,-0.161312,0.6644805,,,0.60431
ABR,1.0890883,0.7333156,-0.4838409,0.1055829,0.0992979,0.5476399,0.7366346,-1.8856988
ABRA,0.5378052,1.3628308,-0.7636961,-0.1879797,0.0176326,-2.0361877,0.687854,-0.3836892
ABRACL,2.6069798,-0.9173131,0.0207179,0.3570682,0.6526961,-1.2244045,1.0468413,0.8835582
ABT1,0.755013,-4.815011,-2.3770125,0.3747536,-0.5573287,1.5975074,2.1094687,-0.7926955
ABTB1,-0.8848258,0.9365818,-0.5686643,0.5700365,-0.4029523,0.3360681,1.9351736,1.6713063
ABTB2,0.392484,0.8440652,-0.579637,0.7411384,-0.2153164,-0.6962113,0.2622261,-0.0169858
ACAA1,-1.3547272,-0.3755428,-0.0762467,-0.8200901,1.0147671,-0.4677121,1.0739064,0.0888233
ACAA2,-0.9491673,-0.448259,0.1282432,0.4328173,-0.1964847,1.7374841,-0.0097326,0.4442087
ACACA,-1.5062929,-0.6115551,-1.315755,0.4699598,-1.0263577,0.6801887,-1.0269656,-1.7963813
ACACB,1.5666631,-0.5278659,-0.2147318,-1.080645,-0.1279317,1.8419376,0.2334925,-0.2408593
ACAD10,-0.0702543,-0.537277,-0.0431861,-0.8366284,0.0676092,-0.5432198,-0.7705906,-0.4322412
ACAD11,0.4250144,0.9828117,0.4561309,1.6373547,0.4648832,-0.4953633,0.6408855,0.7461759
