,A549 TP53-/-,,,A549 TP53 WT,,,LXF289 DOX-IC25,,,LXF289 DOX-IC50,,
Gene,time 9,time 12,time 15,time 9,time 12,time 15,time 5,time 10,time 15,time 5,time 10,time 15
PEBP1,-0.21125,-0.20516,-0.047375,0.42126,0.68109,0.28755,0.081078,-0.0067177,0.03814,-0.06403,-0.096503,-0.085827
PEBP4,0.14514,-0.21611,0.19453,0.36946,-0.39923,-0.051354,0.076107,-0.16206,-0.089363,-0.012583,-0.14743,-0.18451
PECAM1,-0.21049,0.30979,-0.13293,0.40433,0.071244,-0.34569,-0.14996,0.043221,-0.067245,0.05383,0.0641,-0.02317
PECR,0.13598,-0.13723,0.1748,-0.032163,0.10099,-0.015647,0.056881,0.058758,-0.0031242,-0.044296,-0.066069,-0.22757
PEF1,-0.14726,0.13661,-0.14424,0.24383,0.12252,-0.2319,-0.15101,-0.01525,-0.050376,-0.13726,0.086557,-0.083911
PEG3,0.021079,0.05822,-0.12847,0.28891,0.02434,0.29267,-0.044163,-0.070069,-0.037782,0.27733,0.045986,0.19598
PEG10,-0.0089404,0.068208,0.22857,0.29194,-0.18763,0.32412,-0.01072,-0.10104,0.020478,0.18998,-0.070362,0.13106
PELI1,0.11936,-0.097394,0.13235,0.41179,0.49705,0.38862,0.21112,-0.083354,0.034348,0.042093,0.12718,0.086924
PELI2,0.14215,0.13165,0.94944,0.34681,0.50346,-0.091451,0.033547,0.29059,-0.04815,0.35013,0.59543,0.031835
PELI3,0.29426,0.059853,0.37724,0.39369,0.00049929,0.30262,-0.053126,-0.021224,-0.14182,0.15848,0.0083106,0.0060776
PELO,-0.15886,0.37821,-0.14436,0.61368,0.32479,-0.27416,0.046787,0.24283,-0.0004363,0.006108,0.10453,0.015591
PELP1,0.040293,0.44403,-0.025391,0.94799,0.090366,0.41113,0.22151,0.29444,0.37448,0.13336,0.026974,0.36518
PEMT,-0.051362,0.053024,0.3624,0.1339,0.12743,-0.1598,-0.055504,0.035072,-0.077554,-0.15816,0.12099,-0.0461
PENK,-0.10803,0.015704,0.058064,-0.089313,0.078758,-0.25629,0.019556,-0.046581,0.066295,0.0069093,0.012134,-0.026425
PEPD,-0.065364,-0.001208,-0.23494,0.15678,-0.03772,0.71164,0.1158,-0.21,-0.17256,0.19692,-0.12133,0.23911
PER1,-0.18485,-0.13147,-0.22198,0.15811,0.093303,-0.13689,0.14013,0.017513,-0.081858,0.26603,0.074744,0.15547
PER2,0.19508,0.30802,0.20166,0.27282,-0.063108,0.055532,0.093834,-0.24446,0.20785,-0.042617,-0.12092,0.12208
PER3,-0.15523,0.2242,0.21072,0.28335,-0.0625,0.28691,0.20605,0.12421,0.075568,-0.0061774,0.089665,-0.074233
PERM1,0.13664,-0.11538,0.21133,-0.22549,-0.054482,-0.36236,-0.032793,-0.010243,-0.070174,0.090127,-0.11927,-0.1518
PERP,0.11577,-0.19058,-0.15444,0.1246,0.28984,0.43624,0.01014,0.075834,0.027903,0.079414,-0.029192,-0.15274
PES1,0.46778,-0.018173,-0.097145,0.5719,0.39214,0.001261,-0.16862,0.19264,-0.11531,-0.047297,0.1359,0.076387
PET100,-0.27202,-0.038904,-0.36908,0.054429,0.073781,0.097015,0.016735,-0.16036,-0.18641,0.035508,0.078931,-0.12008
PET117,0.092936,0.10465,0.40925,0.43395,-0.3915,-0.23307,-0.084294,0.017799,0.30697,-0.16141,0.036664,0.27139
PEX1,-0.23129,0.24737,0.47229,0.58049,0.12816,0.35072,-0.455,-0.26601,0.13848,-0.13202,-0.22699,-0.024738
PEX2,-0.057574,0.14575,0.095474,-0.022154,-0.27296,0.31291,0.018963,-0.0030045,0.082923,-0.027581,0.038564,0.18173
PEX3,-0.14784,0.20133,0.19594,0.22391,0.1918,-0.22183,-0.14643,0.0017597,-0.083916,-0.16837,0.0021707,0.0087506
PEX5,-0.1364,-0.18392,-0.68063,0.16229,-0.018008,-0.077007,-0.058123,-0.13199,-0.12788,0.063528,-0.037457,0.07006
PEX5L,-0.19904,0.054745,0.23972,0.25129,0.12224,0.071072,0.21544,0.037333,0.20163,0.14405,-0.193,-0.061047
PEX6,-0.095691,-0.19207,-0.35956,0.47622,0.00031967,0.15326,-0.12154,-0.019502,-0.054579,-0.051462,0.040522,-0.12995
PEX7,0.22553,0.17732,0.39143,0.051354,0.1891,0.013919,-0.22513,-0.22034,0.11258,-0.038292,-0.057922,-0.056281
PEX10,-0.17104,-0.33752,-0.38901,0.39013,-0.2138,-0.094417,-0.035865,-0.053649,0.027777,0.018747,0.0032898,-0.050086
PEX11A,0.18017,0.60029,-0.027268,0.37948,0.18529,-0.050259,0.021578,-0.077244,0.011482,0.10885,-0.010363,-0.06233
PEX11B,0.19469,-0.076025,-0.22254,0.33521,-0.032634,0.32741,0.069881,-0.047095,-0.066123,-0.03325,0.46742,0.33251
PEX11G,-0.068917,0.43206,0.2567,0.42152,0.46655,-0.31815,0.17114,0.04577,0.005544,0.20946,0.11108,-0.14831
PEX12,-0.026969,0.081912,0.1947,0.31118,-0.075893,-0.39385,0.019444,-0.0077469,-0.018807,0.095065,0.18466,0.21055
PEX13,0.032019,0.34117,0.32741,-0.10357,-0.1577,-0.09108,0.13405,-0.056887,-0.13385,0.18279,-0.048961,-7.9013e-05
PEX14,-0.21674,-0.13579,-0.34388,0.32657,-0.17237,-0.015198,0.065519,0.043159,-0.24221,0.05546,-0.092866,-0.14821
PEX16,0.12624,0.10867,-0.43555,-0.31567,0.79482,0.84041,-0.15815,-0.20928,0.23358,-0.30166,0.0094883,0.35829
PEX19,-0.30615,0.047109,-0.12273,0.22444,-0.37515,0.034926,-0.12158,-0.22107,-0.20766,0.0065498,-0.037476,0.048414
PEX26,0.15879,0.18034,-0.19857,0.13249,-0.0039143,-0.25331,-0.09159,-0.020798,-0.061338,-0.0091978,-0.1541,-0.065978
PF4,-0.023626,0.2479,-0.097128,0.23104,-0.017881,-0.36639,-0.010985,-0.017858,-0.013279,-0.080443,0.048492,-0.02459
PF4V1,-0.0067403,0.2136,0.13852,0.096136,0.48024,-0.26122,0.21466,0.06704,-0.45176,0.16231,0.065613,-0.2444
PFAS,0.23821,-0.12764,0.10342,0.13298,0.53761,0.37767,-0.087965,-0.15714,-0.27721,0.11809,-0.16254,-0.11098
PFDN1,0.1649,0.42391,0.56628,0.35506,-0.11427,-0.38445,0.13876,0.10258,0.036544,0.097017,0.033723,0.25705
PFDN2,0.14658,0.055762,0.81985,0.77671,0.69727,-0.21321,0.45492,-0.34421,-0.47226,0.12289,-0.077623,-0.85018
PFDN4,-0.016227,0.2462,0.018864,0.12073,0.0078655,0.10741,0.14564,-0.075108,-0.011066,0.094044,0.074398,0.043171
PFDN5,-0.034129,0.1441,1.2221,1.19,-0.16994,0.17597,0.090438,-0.0024661,0.28927,-0.13391,-0.22662,-0.043248
PFDN6,0.077307,-0.075153,0.76562,0.59688,0.067139,-0.24303,-0.064317,-0.25176,-0.23543,-0.24001,-0.24318,-0.1891
PFKFB1,0.10489,-0.0426,0.10894,-0.058321,-0.11031,0.31869,-4.0587e-05,0.080549,0.23558,0.016847,-0.011381,0.013236
PFKFB2,0.33367,0.12188,-0.16886,0.075837,-0.020853,0.54262,0.12092,0.10886,0.010065,0.0046994,0.044025,0.043688
PFKFB3,-0.54315,-0.2543,-0.33299,0.76146,-0.051713,0.051306,0.087173,-0.012404,0.14108,-0.013043,-0.27085,-0.19004
PFKFB4,0.14356,-0.11646,-0.045058,0.39567,0.080305,0.015733,-0.15919,0.082055,0.039764,0.047305,0.10552,0.19416
PFKL,0.011517,0.31104,0.04051,0.20499,-0.30003,-0.067243,-0.03585,-0.19487,-0.018776,-0.00095858,-0.24156,-0.011639
PFKM,-0.21351,-0.059145,-0.44692,0.60585,0.087995,-0.60771,0.022101,0.20022,0.21505,-0.1571,0.12809,0.35164
PFKP,-0.14848,0.0064657,0.11522,0.33814,-0.073428,0.35819,0.055179,0.17628,0.14224,0.27819,-0.059266,-0.33465
PFN1,0.0047401,0.18201,0.5866,0.36465,0.041626,-0.69069,-0.014866,0.11159,0.13535,0.047553,0.22836,0.031161
PFN2,0.1105,0.28966,0.20595,0.22449,-0.23417,-0.42313,0.0841,-0.081468,-0.13589,0.13131,-0.081113,0.031748
PFN3,0.10751,0.3336,0.0014978,0.043294,-0.19533,-0.27581,-0.10111,-0.11899,-0.066406,-0.17411,-0.152,-0.0084858
PFN4,-0.064353,0.095091,0.052672,0.11688,0.3086,0.12419,0.22899,-0.18733,-0.0078104,0.033984,-0.025958,-0.021463
PGA3,-0.047147,0.15709,0.15414,0.13398,-0.079965,-0.14519,0.058684,0.092102,-0.0080569,-0.02293,0.010367,-0.16072
PGA4,0.010982,0.16738,0.86307,0.25291,0.0025006,0.3151,0.3158,0.31071,0.34724,0.095092,-0.38196,0.18828
PGA5,-0.070314,0.25995,0.22234,0.39809,-0.39252,0.53464,0.064302,-0.033062,0.13409,0.0056927,-0.0043562,0.10957
PGAM1,-0.0047109,0.14079,-0.15561,0.9488,0.25287,0.12368,0.071259,-0.32795,-0.15348,-0.030863,-0.16237,-0.018413
PGAM2,0.31857,-0.061639,-0.19097,0.23125,0.12065,0.52478,-0.060712,-0.0015467,-0.16424,0.0046724,0.0065587,-0.0076637
PGAM4,-0.0093395,0.064202,0.13924,0.4476,0.32039,0.04664,0.10175,-0.084797,-0.30606,-0.096943,-0.19698,-0.4002
PGAM5,-0.016499,0.088093,-0.24878,0.26904,0.056385,0.10652,-0.054678,0.0011737,0.012011,0.11004,-0.059639,-0.11007
PGAP1,-0.13537,0.23986,-0.24233,0.25413,0.17915,0.2377,-0.17342,-0.42679,-0.40955,-0.018899,-0.055575,-0.17927
PGAP2,-0.072574,0.035273,0.13228,0.17787,-0.28114,-0.0055928,-0.12243,-0.011115,0.036592,0.0049135,-0.0030096,0.065693
PGAP3,0.10275,0.026901,0.045247,0.0082547,0.0085209,-0.15068,-0.13731,0.040424,-0.063148,0.15594,0.052057,-0.047831
PGBD1,0.2582,-0.053766,-0.10523,0.25737,0.17341,-0.11953,0.026662,0.30535,0.067579,-0.20868,0.16076,-0.089488
PGBD2,-0.055249,-0.12727,0.30403,0.40029,-0.065227,0.19062,0.034152,-0.05401,0.13479,0.0031081,0.12994,0.22466
PGBD3,0.031129,0.43383,-0.21995,0.38484,0.058679,-0.1732,0.24609,0.10205,-0.59602,0.023619,-0.16042,-0.33083
PGBD4,0.42969,0.23021,0.20269,0.36643,-0.48015,0.25368,0.16697,0.21963,0.14255,0.18605,0.22948,0.26549
PGBD5,-0.24286,-0.1607,-0.1065,0.20501,-0.33807,-0.32018,0.037094,-0.14813,-0.076608,0.18361,-0.015602,0.25472
PGC,0.065408,0.54075,-0.14633,0.013326,-0.037517,-0.02209,-0.075106,0.24489,0.20374,-0.11878,0.13696,0.20252
PGD,0.042258,0.31133,1.0512,0.91276,0.17517,0.28141,0.12992,0.35846,0.36259,0.14069,0.35196,0.46288
PGF,-0.14203,0.25629,0.38239,0.41585,0.10151,-0.33283,0.044974,-0.066432,-0.084656,0.013713,0.085577,0.019763
PGGT1B,0.225,0.27414,-0.3121,0.71752,0.82928,1.1408,0.024037,-0.053873,0.10061,-0.054444,-0.027572,0.016848
PGK1,0.29102,0.32692,0.15558,0.38461,-0.19377,0.085067,-0.0042809,-0.14802,-0.26979,-0.015581,-0.29238,-0.30877
PGK2,0.38179,0.14459,0.87468,0.10695,0.076223,-0.26329,-0.24591,0.11462,0.21465,-0.10794,0.099104,-0.025719
PGLS,0.00091957,0.31415,0.78298,0.24043,-0.1236,0.46592,0.11697,0.22468,-0.18173,-0.081974,-0.033852,-0.08734
PGLYRP1,0.23927,0.058466,0.39624,-0.11722,-0.11861,-0.79256,-0.13026,-0.0442,-0.17701,0.051075,0.04708,0.037198
PGLYRP2,-0.12984,0.20072,-0.12893,0.14537,0.020854,-0.061319,-0.23858,0.060258,-0.036189,0.016813,-0.10939,-0.12831
PGLYRP3,-0.042877,0.12808,0.13626,0.27975,-0.40915,0.046751,0.053716,-0.20531,-0.19482,0.015245,-0.029795,-0.052849
PGLYRP4,0.21139,0.49862,0.081007,-0.30449,-0.028462,0.067337,-0.067659,-0.19432,-0.013793,-0.052361,-0.14781,-0.33825
PGM1,0.19749,-0.25298,0.12513,0.2949,0.23102,0.30328,-0.2721,-0.00023043,-0.16579,0.10817,-0.022652,-0.049636
PGM2,-0.012696,-0.18656,-0.19264,0.25461,0.44666,0.29093,-0.035386,-0.042405,0.20606,-0.02791,0.085148,0.0060004
PGM2L1,0.0043438,-0.0046357,0.14809,0.45515,0.10014,-0.11277,0.27616,0.084383,0.18455,0.082231,0.058888,0.025149
PGM3,0.55718,0.15496,1.0043,0.39733,1.3357,0.2781,0.054281,-0.36726,-0.025034,0.2426,-0.18763,0.13862
PGM5,-0.15686,0.20662,-0.075909,0.43505,0.14358,0.32096,-0.13126,0.075366,0.21826,-0.21584,0.075762,0.063856
PGP,0.025513,0.40759,0.15848,0.20142,-0.026943,0.27756,-0.072318,-0.15418,-0.019638,-0.082865,-0.096929,-0.20609
PGPEP1,0.11413,0.093327,0.42886,0.24161,0.076804,0.33473,0.011448,0.18833,0.091183,0.056619,0.098085,-0.04092
PGPEP1L,-0.043183,0.088084,-0.026508,0.052489,0.2852,0.4312,-0.078939,0.020766,-0.035208,0.083992,-0.10011,-0.17859
PGR,-0.1613,0.38658,0.095695,-0.029392,0.15894,-0.24401,0.23184,-0.018354,0.14879,0.34109,0.38693,0.17684
PGRMC1,0.13054,-0.19516,-0.13433,0.26172,-0.047713,0.3299,0.12431,0.15406,0.050555,-0.10389,0.20653,0.011157
PGRMC2,0.15607,-0.25844,-0.042949,0.19985,-0.18363,-0.031179,-0.014679,-0.2602,-0.12241,-0.12609,-0.14535,-0.35896
PGS1,0.20975,0.39174,0.51317,1.0647,0.1785,-0.13389,0.3302,0.18995,0.15546,-0.0013675,-0.024523,0.1753
PHACTR1,-0.052703,0.72633,0.2211,-0.0048812,0.17759,-0.23976,0.17281,-0.42252,0.28359,0.25739,-0.048438,-0.025623
PHACTR2,0.14664,0.28123,0.25039,0.060518,0.063689,0.036239,-0.096719,-0.24938,0.11396,-0.036711,-0.041948,-0.20607
PHACTR3,0.05659,0.42447,-0.0041268,0.40327,-0.48167,-0.37757,0.040599,-0.060236,-0.13187,0.15104,0.12184,-0.02075
PHACTR4,0.23157,0.1171,0.57706,0.0049203,0.20058,0.27297,0.031999,-0.001181,0.01347,0.097797,0.033947,0.20787
PHAX,0.58041,0.1397,0.34185,1.1284,-0.21312,0.63562,-0.47164,-0.25677,-1.7216,-0.098534,0.6439,-0.034414
PHB,-0.49974,0.23074,-0.25431,0.7153,-0.28525,0.72953,-0.046847,-0.26873,0.052259,0.0094899,-0.40729,0.36846
PHB2,0.36438,-0.072105,-0.31777,0.18484,1.425,0.06477,-0.40173,-0.48444,-0.28107,0.38436,-0.38309,0.10996
PHC1,0.27397,0.38311,0.075339,-0.22268,0.13099,-0.36764,0.043113,-0.022383,-0.090225,0.15441,0.13811,0.16714
PHC2,-0.068416,-0.60104,0.56016,0.18686,-0.33572,-0.32909,0.30732,0.15558,0.26237,0.20941,0.15883,-0.14986
PHC3,0.022346,0.17083,0.1366,0.39156,-0.34775,-0.86387,-0.081582,0.050345,-0.19818,-0.052701,-0.20864,-0.36215
PHEX,-0.21901,0.14612,-0.021484,-0.040206,0.027103,-0.20831,-0.12493,-0.045633,-0.32094,-0.1374,-0.082748,-0.042688
PHF1,-0.084706,0.09465,0.46425,0.041957,0.27966,-0.42546,0.14639,-0.139,-0.232,0.096388,-0.20306,-0.048369
PHF2,-0.15663,0.28329,0.13247,0.37225,-0.34435,-0.028178,-0.080122,0.095269,0.16901,-0.17352,-0.08626,-0.15158
PHF3,-0.17763,0.13768,0.51146,0.27329,0.15122,0.021737,-0.13817,-0.060641,-0.04187,-0.080167,0.006245,-0.36842
PHF5A,0.019511,0.74703,0.75137,0.41811,0.12889,0.24691,0.086447,-0.084097,-0.24163,-0.021544,0.22485,0.94563
PHF6,-0.045107,-0.28116,0.09932,-0.12839,0.1749,0.21206,0.017811,-0.054089,-0.22168,-0.23031,0.11489,0.026742
PHF7,0.13655,0.30001,0.249,0.29881,-0.4742,-0.40428,0.028858,0.21256,0.26878,0.20324,-0.0081521,0.015253
PHF8,-0.52894,-0.44399,0.0073725,-0.18126,-0.20346,-0.080267,0.13316,-0.23408,-0.3242,0.15737,-0.19251,-0.42279
PHF10,0.41592,-0.015833,0.097896,0.016002,0.072528,0.12914,0.14422,0.15197,0.22869,0.16651,-0.10968,-0.04004
PHF11,-0.29147,0.24097,0.0080795,0.14642,-0.033054,-0.20703,0.10851,0.055364,0.1658,0.14021,0.057849,-0.15083
PHF12,-0.25305,0.31402,-0.017821,0.22773,0.59577,0.085527,-0.26767,-0.27291,-0.21738,-0.1832,0.025871,-0.065119
PHF13,0.083937,-0.47768,0.18779,0.34131,0.50906,0.44915,-0.050185,0.20534,-0.0084981,-0.074931,-0.0040465,-0.040664
PHF14,-0.13598,-0.15291,-0.05243,0.17008,-0.30372,0.059975,-0.10711,-0.043348,-0.10188,0.074044,0.048758,0.02326
PHF19,-0.32834,-0.027803,-0.3949,0.022364,0.30026,-0.12841,0.18026,-0.14306,-0.15369,0.15267,-0.099336,-0.091857
PHF20,0.17328,-0.08575,-0.26934,0.49833,0.32348,0.12725,0.023467,-0.21942,0.039154,-0.094571,-0.25721,-0.24937
PHF20L1,0.20943,0.25289,0.1492,0.21796,0.039383,0.2859,0.011326,-0.088085,0.029005,0.099215,-0.077752,0.0022188
PHF21A,-0.46604,0.17529,0.38042,0.40266,0.33206,0.25645,-0.081629,-0.11577,-0.22792,0.069642,-0.027176,0.012993
PHF21B,0.18521,0.26722,0.39289,0.51711,0.08005,-0.072,0.13105,-0.17118,-0.17497,0.14756,-0.052447,0.10276
PHF23,0.14405,0.1994,-0.20282,0.22625,-0.45573,0.97317,-0.027783,-0.073333,-0.31755,-0.12293,-0.28845,-0.090854
PHGDH,0.29572,0.22392,0.19792,0.25864,-0.193,-0.025372,0.045331,-0.034525,-0.017234,0.18456,0.13726,-0.10711
PHGR1,0.24895,-0.12812,0.22852,-0.024455,-0.096651,0.10463,-0.10309,-0.23537,-0.044123,-0.22415,-0.08011,-0.19744
PHIP,-0.1539,-0.36737,0.1349,0.14511,0.46626,-0.57478,0.058152,0.18252,-0.29451,-0.16399,-0.11769,-0.12995
PHKA1,0.16703,0.23054,0.69409,0.0067938,0.11048,-0.17959,-0.037653,-0.028858,0.094906,0.001018,-0.16478,-0.074031
PHKA2,0.33803,0.28043,-0.20782,0.085524,0.47746,0.09499,-0.20757,-0.070159,-0.2353,0.065918,0.10883,0.13352
PHKB,-0.065564,-0.023281,-0.36401,0.36596,-0.24224,0.18419,0.11925,-0.15718,0.1817,-0.0045121,-0.14331,0.0078278
PHKG1,0.052852,0.038342,0.39079,0.37335,0.35075,-0.69087,-0.047193,0.15399,-0.034044,0.1304,0.067377,-0.010102
PHKG2,0.17732,0.076337,0.21845,0.15533,0.67624,0.22248,0.079262,-0.1187,-0.17209,0.2596,0.096502,-0.019923
PHLDA1,0.033361,-0.01532,0.093382,0.079977,0.1971,0.19586,-0.05547,-0.082545,-0.18981,-0.21695,-0.22101,-0.24084
PHLDA2,-0.043708,-0.12257,0.023923,0.084662,0.29381,-0.53724,-0.11378,0.088321,0.14152,0.10118,-0.067513,-0.20161
PHLDA3,0.18402,0.11844,0.37391,0.22263,0.15454,0.19723,-0.10133,0.18734,-0.036766,-0.087098,0.046647,-0.095712
PHLDB1,0.30707,0.056505,0.12822,0.29353,-0.004404,0.104,-0.10738,0.11282,0.11608,-0.19762,0.15729,-0.25107
PHLDB2,0.86678,-0.28969,-0.28961,-0.23987,-0.010322,-0.093382,0.018596,-0.094154,0.28412,0.14925,-0.21009,0.28945
PHLDB3,-0.058355,0.51069,0.20244,0.28606,0.35605,-0.11638,-0.067631,-0.080545,-0.32872,0.034635,0.050495,-0.22883
PHLPP1,-0.043885,0.01756,0.25581,0.11832,0.15834,0.22572,-0.017754,-0.014621,0.0082513,0.15262,0.091425,-0.071637
PHLPP2,-0.18574,-0.26981,-0.20851,0.36837,0.22784,-0.3926,0.095667,0.052404,0.086122,0.19947,0.098476,-0.011801
PHOSPHO1,-0.42835,-0.15282,0.52211,0.49868,0.38687,-0.14546,0.13379,-0.18742,0.18375,-0.25199,-0.16859,-0.027676
PHOSPHO2,-0.10809,0.28379,-0.47578,0.12157,-0.1762,0.20198,-0.018927,0.036267,-0.1747,0.13609,0.17373,0.20605
PHOSPHO2-KLHL23,0.017997,-0.016551,-0.0038788,0.083772,-0.34124,0.39359,0.16513,-0.022587,0.064353,0.092161,0.012132,0.10797
PHOX2A,-0.083413,0.080136,-0.27726,0.035021,-0.097227,-0.36918,-6.0555e-05,0.12507,-0.10763,0.067915,-0.08804,-0.068991
PHOX2B,0.19011,-0.16078,0.012227,0.003737,-0.21534,-0.23889,0.11221,-0.20297,0.097596,0.2264,0.096328,0.079045
PHPT1,-0.03242,0.28153,0.22652,0.23584,0.27174,0.017766,0.041523,-0.015601,-0.079908,0.14316,0.066949,0.071178
PHRF1,0.14251,0.058546,0.42205,0.45493,0.07681,0.088186,-0.042047,0.051576,0.11808,-0.092991,0.012372,0.23866
PHTF1,-0.106,-0.12447,-0.032773,0.12098,0.31578,0.19955,-0.038073,0.049652,0.16095,-0.19863,-0.051685,-0.16178
PHTF2,-0.17971,-0.06035,0.00015168,0.11577,0.34623,0.178,-0.099751,-0.067655,-0.078499,-0.12672,0.075917,0.12344
PHYH,0.13413,-0.83887,0.91366,0.11503,-0.056229,-0.3711,-0.090581,-0.058736,0.072961,0.0055482,0.064792,-0.13353
PHYHD1,-0.036577,-0.070841,0.043182,0.023331,0.065975,0.02242,-0.018451,0.042608,0.20888,-0.1582,0.0088571,0.009408
PHYHIP,-0.14151,0.0094541,-0.011972,0.2901,-0.033251,-0.34165,0.072036,-0.037344,-0.14572,0.04454,0.01882,-0.093713
PHYHIPL,0.020585,-0.034104,-0.24378,0.0094958,-0.11113,0.18573,-0.032627,-0.0066079,0.0051883,-0.020728,0.12643,0.097572
PHYKPL,-0.19176,0.016202,-0.15584,0.1973,0.032196,0.33065,0.05816,-0.13805,0.1603,-0.0072382,-0.11502,-0.11669
PI3,0.077154,0.18465,-0.20485,0.14684,-0.20552,-0.29248,0.040993,0.10604,0.096414,-0.11423,-0.011281,0.088483
PI4K2A,0.13787,0.063845,0.22364,0.098043,0.42018,0.13414,-0.076802,-0.084762,-0.099492,-0.081776,-0.065354,0.051396
PI4K2B,-0.068848,-0.15779,-0.089862,0.19968,0.35817,-0.053042,0.076728,-0.057744,0.015079,0.15345,-0.024588,0.049329
PI4KA,-0.30002,-0.17332,0.10223,0.41722,-0.39572,0.10239,-0.013499,0.21247,0.34884,-0.19524,0.51959,0.24098
PI4KB,-0.1077,0.42663,0.17315,0.77484,0.29851,-0.0017293,0.063994,-0.081897,-0.24462,0.090531,0.016756,0.09358
PI15,0.20962,0.060525,-0.12305,0.26456,-0.263,0.021719,0.005186,-0.20093,0.089619,0.07394,-0.066081,-0.0050029
PI16,-0.25201,0.46473,-0.28152,0.25383,0.098175,-0.083624,-0.0019006,-0.031635,0.0061207,0.028257,0.10932,0.0043744
PIANP,0.35924,-0.33336,0.23008,0.39931,-0.29615,0.091456,0.14404,0.11576,0.003233,0.23158,0.030593,0.0089877
PIAS2,-0.60645,-0.32874,-0.32423,0.17907,-0.30088,0.077916,-0.058672,-0.08932,-0.12902,-0.078003,-0.044458,0.051713
PIAS3,0.30118,0.74363,0.72047,-0.048207,0.0047549,0.43956,-0.041976,0.056152,0.24087,0.14561,0.021873,0.063722
PIAS4,0.026955,0.35536,0.39987,0.21357,0.17405,0.33409,0.021292,-0.0089214,-0.0082086,0.09779,-0.20886,-0.18808
PIBF1,0.33208,-0.48143,0.23909,0.11633,0.1919,0.33622,-0.01414,-0.063171,-0.083766,0.10796,0.015193,-0.049548
PICALM,-0.3706,-0.049688,-0.18033,0.33688,0.12157,0.61855,-0.24198,0.026789,-0.49596,-0.46059,0.11641,0.14337
PICK1,0.093633,0.0054773,0.81748,0.19039,0.46202,-0.35175,0.10253,0.0014229,-0.0066652,0.27919,-0.047691,0.046551
PID1,0.13562,0.071219,0.2943,0.28924,0.064112,0.30434,0.031906,-0.096026,-0.15381,-0.00052174,0.20274,0.23509
PIDD1,0.092884,0.24334,-0.14025,0.39951,-0.18195,-0.26919,-0.0035732,0.019076,0.17217,0.16064,0.13764,0.26195
PIEZO1,0.20613,0.17724,0.38986,0.13879,0.45379,0.0039248,0.054214,0.044654,-0.032964,-0.099245,0.10966,-0.068117
PIEZO2,-0.020719,0.17509,0.52024,0.10452,0.074495,0.016601,0.13464,0.07391,0.12861,0.053449,0.060883,0.072133
PIF1,0.058082,0.22389,0.64777,0.3189,0.0073856,-0.3916,0.01232,-0.073644,0.027833,0.23857,0.046534,0.054412
PIFO,0.07865,0.24607,-0.054992,0.23389,0.26777,-0.0020531,0.0075963,0.13948,0.00084803,-0.0093314,0.080557,0.050698
PIGA,0.036535,0.64356,0.17048,0.54714,-0.44721,-0.13315,0.066015,0.0011468,-0.13097,-0.060691,-0.10402,0.34097
PIGB,-0.14729,0.36097,-0.46263,0.1414,0.75915,-0.1789,0.086169,-0.012323,-0.1728,0.16373,-0.043055,-0.25545
PIGC,0.0058776,-0.18021,-0.4378,0.26641,0.050174,0.0037572,0.078359,-0.0028898,0.0017261,0.0635,-0.15827,-0.033649
PIGF,0.16626,0.61439,-0.21157,0.27386,0.38281,-0.031986,0.099724,0.2684,0.16196,-0.13151,0.30409,-0.097638
PIGG,0.069909,0.26346,0.32864,0.10082,-0.11246,0.081117,0.17302,-0.062027,-0.057844,0.29863,-0.028482,0.26061
PIGH,-0.11084,0.016154,0.076008,0.57793,0.25512,-0.21807,-0.073631,-0.049135,-0.022772,0.28306,-0.098709,0.015245
PIGK,0.022107,0.17402,-0.79494,0.62727,0.20033,0.12179,-0.078563,-0.059391,0.22296,-0.20942,-0.26757,0.053693
PIGL,-0.056693,0.059513,0.33763,0.46798,-0.2101,0.35762,-0.097833,-0.052493,0.0092443,0.022148,-0.11161,0.18933
PIGM,-0.10141,0.15022,-0.028981,0.29939,0.48853,-0.4528,-0.012477,-0.044019,0.05842,0.06925,0.24792,0.040631
PIGN,0.24309,0.5221,-0.10977,0.009409,-0.09489,0.17421,0.018239,-0.15955,0.029225,0.093605,-0.05143,0.06297
PIGO,0.19748,0.31078,-0.19341,0.30049,-0.24943,0.28781,-0.026141,-0.05982,-0.18281,-0.08633,-0.05135,-0.21232
PIGP,0.046978,0.12644,0.16629,0.017708,0.1785,-0.39652,-0.011412,0.059587,-0.050711,-0.0021183,0.0060443,-0.014845
PIGQ,0.34966,0.12737,-0.16938,0.23944,-0.1832,0.34267,-0.13247,-0.086972,0.26148,-0.037752,-0.014388,-0.071523
PIGR,-0.15291,0.26384,-0.043323,0.30008,0.11418,0.088565,0.03081,-0.10925,-0.078592,-0.044737,-0.0081233,-0.30606
PIGS,0.32568,0.013926,0.21574,0.33427,0.31041,0.28191,-0.083486,0.060968,-0.23407,-0.044013,-0.027155,0.0433
PIGT,0.0093667,0.080181,0.071045,0.16542,0.012225,-0.056334,0.17974,0.047501,0.061381,0.26054,0.13673,0.052956
PIGU,0.24786,-0.12838,0.15979,0.26194,0.05611,-0.021812,-0.060333,-0.3299,-0.25719,-0.089375,-0.27325,-0.022109
PIGV,-0.018885,0.23449,0.14069,0.36234,-0.10861,-0.29039,0.21718,0.2407,0.038674,0.16586,0.21447,0.27878
