,A549 TP53-/-,,,A549 TP53 WT,,,LXF289 DOX-IC25,,,LXF289 DOX-IC50,,
Gene,time 9,time 12,time 15,time 9,time 12,time 15,time 5,time 10,time 15,time 5,time 10,time 15
ABCC4,-0.10489,0.21657,-0.013554,0.041728,-0.043402,0.21036,0.01293,0.015358,0.22509,0.086091,-0.13953,0.15996
ABCC5,-0.2258,-0.17714,0.068303,0.45544,0.24627,-0.056113,-0.016693,-0.14452,-0.028186,0.056185,0.28572,0.14181
ABCC6,0.072165,0.32401,-0.37872,0.36111,0.058435,0.21907,0.066502,0.082965,0.065689,0.06492,0.18386,-0.017011
ABCC8,-0.086094,0.070915,0.024729,0.36449,0.0727,0.18335,-0.00028455,0.31274,0.21372,0.21877,0.24184,0.017848
ABCC9,0.14963,-0.11442,-0.026483,0.29106,0.12141,0.21536,0.047338,-0.036364,-0.061914,0.077282,0.061828,0.048527
ABCC10,-0.070719,0.079547,-0.058479,0.038977,0.082606,-0.14375,-0.017321,-0.0028277,-0.048397,-0.0112,0.087025,-0.086305
ABCC11,-0.0013641,0.036185,0.0038637,0.13692,0.023278,0.21991,0.046403,-0.12225,0.059019,0.10345,-0.16726,0.1292
ABCC12,-0.097398,-0.068321,0.35409,0.20031,0.13082,-0.0173,-0.067747,0.22944,-0.028011,-0.025395,0.12885,0.0030376
ABCD1,-0.041164,-0.15712,-0.02186,-0.13193,-0.42066,-0.26132,-0.0081616,0.045143,0.14804,0.014737,0.12921,0.17776
ABCD2,-0.1807,0.060428,0.18521,0.24929,0.45927,0.1831,-0.082454,0.099528,-0.4289,-0.20434,-0.046096,-0.28837
ABCD3,0.046974,-0.33682,0.15785,0.29874,0.061324,-0.27746,0.42737,-0.010893,-0.27633,-0.09689,-0.00082488,-0.31033
ABCD4,0.13732,0.2752,0.18587,0.19311,-0.095396,-0.10585,0.11514,0.2448,0.014934,0.01348,0.047137,0.27872
ABCE1,-0.014608,0.32911,0.12201,1.0075,0.93495,0.225,0.1714,0.17571,0.28934,0.023161,0.061689,0.24511
ABCF1,0.25326,-0.37872,-0.070717,0.78177,0.013454,0.71758,-0.094307,0.27938,-0.011062,-0.033855,0.34621,0.28092
ABCF2,0.49099,0.54045,-0.14107,0.44825,-0.2239,0.16603,0.023504,-0.051008,-0.070344,-0.073029,-0.052268,0.016382
ABCF3,-0.1123,-0.36657,0.15277,0.235,0.057204,0.10671,-0.079417,-0.10052,0.066339,0.11185,-0.041077,0.13937
ABCG1,-0.010623,-0.41248,-0.37839,0.29055,0.62191,0.3383,-0.014148,0.02984,-0.16363,0.029892,0.023159,0.044581
ABCG2,0.17215,0.14663,0.091221,0.16248,-0.0075919,0.25334,0.025596,-0.023501,-0.011214,0.027086,0.08093,-0.061417
ABCG4,0.015512,0.0063185,0.4779,0.21312,0.089929,-0.12925,0.057339,0.087375,0.14432,0.082137,0.083511,0.17007
ABCG5,-0.036202,-0.19151,0.41769,0.23987,0.12982,-0.020302,0.21236,0.16618,-0.090295,0.020591,0.15001,-0.089773
ABCG8,-0.057777,0.16092,0.18938,0.30549,0.1161,-0.22417,0.15349,-0.025615,0.19993,0.047303,0.12702,-0.014217
ABHD1,0.0054877,0.30863,0.018103,0.53364,0.043966,0.096078,-0.09752,-0.098799,-0.095717,-0.03868,-0.2117,-0.18686
ABHD2,-0.11572,0.083733,-0.1548,-0.016061,0.014069,-0.4251,0.2051,0.12463,0.023614,0.18866,0.13933,-0.19942
ABHD3,-0.17422,0.037105,0.11103,0.17639,0.0082674,-0.039022,0.16045,0.10677,-0.066561,0.17457,0.26264,0.23742
ABHD4,0.14562,0.43925,0.32377,0.22351,-0.0011153,0.39123,0.034672,-0.06691,-0.28686,0.06273,-0.16533,-0.17576
ABHD5,0.15918,-0.076673,0.66992,0.19616,0.021665,0.057134,-0.31901,0.015229,0.30414,-0.033296,0.2997,0.28049
ABHD6,0.12195,-0.17414,0.20536,0.21375,0.026479,-0.14373,-0.091005,0.038232,-0.26262,0.16397,0.17377,-0.25216
ABHD8,0.11954,0.26073,-0.17788,0.29258,-0.094061,-0.64076,-0.016386,-0.1498,-0.32747,-0.063678,-0.20573,-0.20913
ABHD10,0.0036864,0.04556,0.49567,-0.32639,-0.41113,-0.24164,-0.068741,-0.10347,0.084806,-0.24411,-0.13848,-0.058933
ABHD11,0.21598,0.08889,0.08847,0.62853,0.0021899,-0.7814,0.052214,0.016878,0.020855,-0.049634,-0.1776,-0.15789
ABHD12,0.36849,0.61211,0.75033,0.14871,-0.27494,-0.045009,0.024908,-0.036358,0.0042351,-0.066728,-0.077406,0.096745
ABHD12B,-0.12576,-0.33246,-0.26772,-0.060665,0.53134,0.71332,-0.025157,-0.048031,-0.18844,-0.052953,0.22783,0.094732
ABHD13,-0.11163,0.0014069,-0.047154,0.19258,-0.071402,0.11151,0.0085163,-0.16794,-0.092942,-0.017617,-0.024478,0.052974
ABHD14A,0.061347,0.19783,-0.27114,0.32532,0.2465,0.2398,-0.031079,0.056568,0.074573,-0.14399,0.057454,-0.079439
