GeneID,CRISPRn Viability Z score (olap and talaz screen),CRISPRn Drug Effect Z score (olap screen),CRISPRn Olaparib sgRNA Drug Effect Zcount,CRISPRn Olaparib Gene Rank,CRISPRn Drug Effect Z score (talaz screen),CRISPRn Talazoparib sgRNA Drug Effect Zcount,CRISPRn Talazoparib Gene Rank,CRISPRi Viability Z score (olap screen),CRISPRi Drug Effect Z score (olap screen),CRISPRi Olaparib sgRNA Drug Effect Zcount,CRISPRi Olaparib Gene Rank,CRISPRi Viability Z score (talaz screen),CRISPRi Drug Effect Z score (talaz screen),CRISPRi Talazoparib sgRNA Drug Effect Zcount,CRISPRi Talazoparib Gene Rank
PELI1,1.41413024838691,0.862560221845724,0,12424.792877584,1.9526552121764,0,17021.6063415406,-2.70301287663627,0.582555087331476,0,12956.5894101642,-1.97490021562951,-0.228560694252267,0,6973.99999501062
HOXB2,1.55821762395147,-4.84851612086025,1,1416.22743209482,2.53260540085217,0,17362.293630986,0.722523027331164,-0.261921917033562,0,5711.77813070157,0.89542471320738,-0.228535753952876,0,6864.73096189047
UNKL,0.302295379166978,0.514969687214458,0,11331.9450115775,-0.356088348670674,0,5705.76411610134,0.0294392836793729,0.343031725916975,0,10251.7634994286,-0.179468659493448,-0.22839218072836,0,4950.66278083765
TMEM189-UBE2V1,-0.0463117890021487,0.691487461298038,0,13888.4717272007,0.767386617591719,0,14326.0640503728,0.19643394852809,0.971168671196214,0,15695.2410364281,0.141644691789989,-0.228149745042277,0,6599.0965669586
EGFL8,0.279110302598298,0.334728903379161,0,9816.99908873616,-0.729763200196615,0,4038.21770037593,-0.272474898967797,0.179382220596868,0,7919.83052360497,0.0425062751841239,-0.228100999961883,0,8699.36979977352
LEPRE1,0.822767247913844,0.812123634491981,0,13134.1899212334,1.68224619364639,0,16848.9796844706,1.5629021264802,-0.179965653677005,1,4405.4678263512,1.28878028263984,-0.227922779782893,1,7810.2100409716
ZNF436,-2.02690359039973,1.76864741091666,0,13517.912047653,0.441750950023747,0,13046.0169283166,-1.3211833614125,0.807585344819051,1,11118.4454088191,-1.42515950565866,-0.227797568798542,2,3822.97602440577
CYP3A4,-0.109640042840514,1.14656526725733,0,12804.9251196315,-0.0330627945723854,0,7290.13517073019,1.5463151848224,-1.03542714073993,0,2081.10607838481,1.9076647849569,-0.227562217630543,0,8665.79528638177
SNRNP35,-10.5894447556953,-4.54131799284277,1,1648.08721164861,0.110673023290871,0,9418.37279120045,-14.8837873259872,-1.03707957434512,0,4398.83861972024,-16.4137759635424,-0.226633560019863,0,5329.77718492165
VCAM1,0.683911093339155,1.95302275820332,0,13279.498799173,0.185982059008316,0,9337.75911532687,0.751328737388171,-0.356336768637687,0,4516.81412096199,0.654123867540017,-0.226598032121943,0,3697.3308393711
