GeneID,CRISPRn Viability Z-score,CRISPRn Olaparib Effect Z-score,CRISPRn Olaparib sgRNA Z-count
ACOX3,1.13350447756972,0.396474347250829,0
ACOXL,0.191602751312223,1.13124565103939,0
ACP1,0.65535063464802,0.253989842764412,0
ACP2,1.08047957364863,0.735440952077556,0
ACP5,0.926692228920228,0.862071025653528,0
ACP6,0.63598683599304,0.78042928200047,0
ACPP,0.838512777649814,-0.344498025186774,0
ACPT,0.164249800685432,0.578143083213837,0
ACR,-2.61717335849685,-0.857669451071763,0
ACRBP,-0.080993770596255,1.49010955244,0
ACRV1,0.244348270901432,1.38284083412537,0
ACSBG1,0.855428957666575,0.602550643962462,0
ACSBG2,0.198113284222234,-0.649064454409703,0
ACSF2,0.0191429422445278,0.788790771273283,0
ACSF3,0.278031121246294,1.42252940269423,0
ACSL1,-1.64865236147034,1.19539804657535,0
ACSL3,-0.884243448476781,0.083978502735868,0
ACSL4,1.24397132366786,0.466296586429387,0
ACSL5,-2.20030472704624,-0.201544473442386,1
ACSL6,0.704788941948887,-0.202310552297336,0
ACSM1,1.56828345047574,-1.70712617579067,0
ACSM2A,1.42235990868581,0.587321070014906,0
ACSM2B,-0.508097970787347,1.04386903278735,0
ACSM3,2.24889283782738,-1.55089630624396,1
ACSM4,-1.25212044513548,-2.7697534174086,1
ACSM5,0.596947792237494,-0.25973123250011,0
ACSS1,-0.746293861577539,1.00601764625717,0
ACSS2,0.207261097362317,0.703009468400022,0
ACSS3,0.881742549772427,0.21210138386973,0
ACTA1,-2.96898859904606,2.20621660246564,0
ACTA2,-0.550447337371145,1.80489091009076,0
ACTB,-12.7022310720328,0.726049557670623,0
ACTBL2,0.198795946360846,0.405356380706257,0
ACTC1,0.395098789629964,-1.49087093028416,1
ACTG1,-4.29544180295966,-3.69444249691427,1
ACTG2,0.447321679502893,0.599966424856025,0
ACTL10,1.00411807559414,0.813562087110187,0
ACTL6A,-14.5286925683206,-6.0621145456364,3
ACTL6B,-0.067856532899831,1.28180815491486,0
ACTL7A,0.549234123507593,1.66435214656752,0
ACTL7B,0.38109276054117,0.307332536834933,0
ACTL8,-0.00490694928722565,0.26918914864355,0
ACTL9,-0.40806445423013,0.131754426025576,0
ACTN1,0.846003240913567,1.28402980437311,0
ACTN2,-0.166726728217907,0.663374509627589,0
ACTN4,1.74257686794612,0.4482547454237,0
ACTR10,-10.7229765638965,-5.01163304696594,3
ACTR1A,-12.3619019917228,-0.143047585319901,0
ACTR1B,-0.152313408401348,1.41970212752106,0
ACTR2,-15.1318356309721,-1.54454214332476,1
ACTR3,-12.517745105471,-1.06971942758429,1
ACTR3B,-0.451744617470988,0.859036694242071,0
ACTR3C,-0.229182335588657,-0.188597855159815,0
ACTR5,-2.89574804230893,-1.10321289158493,0
ACTR6,-15.6069742971084,-0.516449888765884,1
ACTR8,-8.74854092187817,-0.530988488566925,2
ACTRT1,3.75114063292185,-1.21557285260223,1
ACTRT2,0.423868597609201,-0.219922123402984,0
ACTRT3,0.115389875286285,0.772033498650196,0
ACVR1,1.7051921196377,-0.0435705292481216,0
ACVR1B,-0.41827621479435,0.105099652945382,0
ACVR1C,1.21590857148469,-0.616703780552006,0
ACVR2A,0.121448257073495,2.04917587689189,0
ACVR2B,-0.0434392832555731,0.265857691538301,0
ACVRL1,1.1380320378848,0.533546447378505,0
ACY1,-0.798470204841029,0.259004265253746,0
ACY3,1.41523992619582,0.229118119160764,0
ACYP1,-0.0458617997892791,0.74225996629383,0
ACYP2,-1.03655590822241,2.8132008221446,0
ADA,0.93862128408412,0.244539297406727,0
ADAD1,-0.571193093243229,-0.0238315475191197,0
ADAD2,0.0941179177219616,0.331236379346503,0
ADAL,-2.47750961696037,1.05500088480717,0
ADAM10,-1.90911018982873,3.7247140416749,0
ADAM11,0.167810525764637,-0.143178672856746,0
ADAM12,0.893935960039205,-1.71535306082132,1
ADAM15,0.24631839819683,0.813566022707269,0
ADAM17,1.95178737768715,0.806700932880503,0
ADAM18,2.17865967991815,-0.935248582430933,0
ADAM19,0.19619039936631,0.622674268847783,0
ADAM2,-0.697450028056404,1.54559535123132,0
ADAM20,0.0671230820958318,-0.845382313419133,0
ADAM21,-2.11302449433079,2.14462588919224,1
ADAM22,0.26534568912718,0.274338482228177,0
ADAM23,1.16501628083321,1.19198565475446,0
ADAM28,0.30785829807975,-0.2991115810419,0
ADAM29,0.97526063758767,0.800089695742742,0
ADAM30,1.41504989352241,-0.407536432539366,1
ADAM32,0.360645707109753,-3.25671681706649,1
ADAM33,-0.568914348078721,-0.469547881067737,1
ADAM7,1.50104037804007,0.402897935202893,1
ADAM8,0.95051427627266,1.2415935362976,0
ADAM9,1.33564740569734,-0.224036200992095,0
ADAMDEC1,2.03306795552949,-1.86016987286647,1
ADAMTS1,1.16067291901401,-0.199659949899199,0
ADAMTS10,-0.336092480813046,1.597333341112,0
ADAMTS12,-0.91486979014124,1.38897612514633,0
ADAMTS13,-1.0310381382577,-0.516755703732949,1
ADAMTS14,0.433522847392593,0.485063495368303,0
ADAMTS15,0.65736742867621,0.00488389959446651,0
