"Supplemental Table S0. Genome-wide Etoposide score (etoposide vs. vehicle controls) and essential score (vehicle control vs. day 0 replicates) at day 4 (early), day 12 (intermediate), and day 18 (late) using MAGeCK-RRA",,,,,,,,,,,,
Gene,Day4.Etop.Score,Day4.Etop.FDR,Day4.Ess.Score,Day4.Ess.FDR,Day12.Etop.Score,Day12.Etop.FDR,Day12.Ess.Score,Day12.Ess.FDR,Day18.Etop.Score,Day18.Etop.FDR,Day18.Ess.Score,Day18.Ess.FDR
ABHD17B,0.292276570539806,1,-0.017956,0.999976,-1.39379066677198,0.953337,0.24264,0.782515,0.396898950685944,1,0.044971,0.817576
ABHD17C,-0.610532672944631,1,0.064218,1,0.065834972479646,1,-0.11502,1,-0.260174588614695,1,-0.062278,1
ABHD2,0.637894680706227,1,0.070313,1,0.721566523462584,1,0.42585,0.967625,1.20168089816666,0.960285,0.00081479,0.866129
ABHD3,-0.879524783303475,0.988703,0.3519,0.79662,0.991272113347615,1,0.2495,0.982626,-0.91228955113937,0.986752,0.60644,0.72956
ABHD4,0.134363112300371,1,-0.042008,0.999976,-0.281224368526129,1,0.1562,0.994767,-0.888972848973825,0.987387,0.40116,0.733422
ABHD5,0.196863943887406,1,0.10994,1,0.432127055635435,1,0.1857,1,0.682229077049759,1,-0.0071423,1
ABHD6,0.579994715040949,1,-0.0069121,0.999976,-1.06130519137752,0.980815,0.3385,0.927039,-1.22452062459024,0.955547,0.095335,1
ABHD8,-1.30674804559483,0.949586,-0.057247,0.999976,-1.94443055993901,0.868599,-0.015577,0.877293,-0.530457789228313,1,0.29617,0.970851
ABI1,-1.05773888907795,0.963959,0.15887,0.756327,-0.276724979494237,1,0.40276,0.926338,-0.634287438107507,1,0.60128,0.567253
ABI2,-1.2664977922487,0.949777,0.047891,1,1.24714520526929,0.959604,0.63736,0.85967,0.417039416249285,1,0.27771,0.518145
ABI3,-1.37491401752107,0.944459,0.025613,1,0.151564544668529,1,0.42754,0.851883,1.15608236199361,0.961487,-0.061095,1
ABI3BP,-1.03654273988329,0.965028,0.0888,1,-0.219337118331448,1,0.09527,0.968428,-0.453728855431559,1,0.095778,1
ABL1,0.746880166113113,1,-1.1941,0.272708,1.22265293851218,0.964637,-1.4936,0.686226,-0.896025330613612,0.971275,-3.591,0.080202
ABL2,-0.887562582678156,0.987255,0.080349,1,-1.69953495445969,0.923473,0.56674,0.866172,0.571654591815115,1,0.2537,0.95561
ABLIM1,1.1260461505953,1,-0.085019,0.999976,-0.761677843624446,1,0.4881,0.782515,0.575363335349803,1,0.1156,1
ABLIM2,-0.194988763631795,1,0.097054,0.997066,0.11418097638455,1,-0.1608,1,1.37981187446903,0.92913,0.1331,0.98659
ABLIM3,-1.09406387325418,0.959576,0.1327,0.920887,-0.39611979163371,1,0.32724,0.919101,0.296347576587491,1,0.25837,0.792369
ABO,0.655686338765444,1,-0.14235,0.999976,0.992807176442959,1,-0.038962,1,2.54074325047657,0.49134,-0.23039,1
ABR,1.06564296998315,1,-0.029473,0.999976,-0.143132205920644,1,0.53125,0.917786,0.131167545158966,1,0.42452,0.931817
ABRA,2.49463292870786,0.40089,-0.067102,0.999976,0.521087361070694,1,-0.25581,1,-0.283103930113818,1,-0.33892,1
ABRACL,-0.318957859891895,1,0.25454,0.914152,-2.57632823471048,0.66342,0.7695,0.735636,-0.682458967543851,1,0.83141,0.567253
ABT1,1.83371793268343,0.722151,-0.62899,0.612009,1.09397219818052,0.994386,-2.1105,0.391782,-1.96738123914928,0.775798,-1.177,0.199212
ABTB1,1.20686644103087,1,0.035733,1,0.682417160219801,1,-0.34815,1,-0.616705381636289,1,0.21008,0.972832
ABTB2,0.692953464781981,1,-0.12783,0.999976,0.650042901280536,1,-0.3047,0.923824,0.261045124704587,1,-0.20885,1
ACAA1,0.12930939113407,1,-0.057338,0.999976,-0.873868592738016,1,-0.85175,0.934793,-0.806179973983887,1,-0.29772,1
ACAA2,-0.845484734207603,0.988703,0.054878,1,0.174061340787252,1,0.29699,1,0.501262255462211,1,0.08003,1
ACACA,-0.209426340662721,1,-0.034909,0.999976,-1.986867723954,0.854251,0.87231,0.580083,-1.52749220792119,0.909676,0.9162,0.305605
ACACB,-1.58653258701418,0.926739,0.10954,1,-0.612147647236957,1,0.12799,1,-1.14828313163752,0.960115,-0.13652,1
ACAD10,1.01561222335956,1,0.12495,0.947476,-1.1734004718375,0.964467,0.0069048,1,-1.55498771211204,0.904059,0.25153,0.998903
ACAD11,0.275175463346166,1,-0.071659,0.978615,-0.348324710759507,1,0.021193,1,0.127802922975726,1,-0.31341,1
ACAD8,-1.25279023653774,0.951751,0.35596,0.728062,-0.975309137644569,0.993517,0.47281,0.859757,0.125941666370755,1,0.52017,0.612979
ACAD9,0.293717583522993,1,0.25554,0.898314,0.447989197239669,1,-0.62794,0.43522,-1.34932343482094,0.943292,-0.1512,1
ACADL,-0.338954393523337,1,0.41995,0.806937,-0.638102255904119,1,-0.46174,1,-1.87176232923081,0.794907,0.13923,0.999793
ACADM,0.181384867881309,1,0.20434,0.899958,-0.764850463526756,1,0.48108,0.806238,-0.452299118645316,1,0.55401,0.778041
ACADS,0.482698511365843,1,-0.26709,0.452525,-0.54157368501279,1,0.30824,0.951377,0.583376132615816,1,-0.079383,1
ACADSB,-1.28731663343871,0.949586,0.18321,0.940226,-2.18336105510154,0.805569,0.9438,0.688936,-1.46106199365953,0.925221,0.39432,0.788034
ACADVL,-0.311793817986136,1,0.068709,1,0.215803656372609,1,0.07416,0.951933,0.521072944417075,1,0.05813,1
ACAN,0.473415208830543,1,-0.10356,0.999976,0.573765343788448,1,-0.58621,0.889907,-1.07193716620799,0.971275,-0.3774,1
ACAP1,0.98184062645909,1,0.059534,0.959773,0.6438402400431,1,0.1379,1,1.10729336219433,0.972098,0.20316,0.969499
