Supplementary Table 6. Normalized screen data and DeSEQ2 output. ,,,,,,,,,,,,,,
Gene,baseMean1,Log2_FC1,pval1,baseMean2,Log2_FC2,pval2,baseMean3,Log2_FC3,pval3,chi,combined_p,combined_q,Meidan_Log2_FC,Combined_mean_Log2_FC
SLC24A2,37.93501266,-4.804393616,1.01e-07,244.1082228,0.807670268,0.40773125,94.66113404,0.700764537,0.43511226,51.5,2.35e-09,3.88e-05,0.700764536529557,0.185458995939708
PSMG4,11.48742634,-3.366894597,0.001197441,117.7340443,1.069830773,0.17175138,17.06748482,-3.713876702,8.71e-05,51.5,2.35e-09,3.88e-05,-3.36689459666414,-0.400791208718175
ZNF354B,298.5710673,3.861553159,3.66e-06,259.0717751,1.232510694,0.101168761,296.4201148,1.442370958,0.052047102,51.3,2.58e-09,4.25e-05,1.44237095848938,2.70806756520891
ADAM23,157.7713094,-1.146150204,0.163915748,29.29400644,-4.198885922,1.83e-06,63.29619508,1.480165411,0.07211221,50.9,3.1e-09,5.12e-05,-1.14615020384224,0.135792233256674
TNFAIP3,18.12122666,1.823706238,0.079427419,21.32725678,-0.633526487,0.531760388,22.41398916,-5.110337519,5.44e-07,50.8,3.25e-09,5.36e-05,-0.633526486599329,0.49003681354746
LGALS9B,13.10614121,-2.606074303,0.004974064,21.30827978,-3.603452574,4.85e-05,69.27353095,1.767534838,0.094231102,50.8,3.25e-09,5.36e-05,-2.60607430316643,0.283421827713746
HECTD2,14.91594934,3.201518249,0.001971563,1048.172305,3.391384522,5.07e-05,23.37310452,-1.146928378,0.236480646,50.7,3.4e-09,5.61e-05,3.20151824917789,2.74732014750535
CLEC4G,24.87521823,-3.313006911,0.000132991,596.8404151,1.474648602,1,816.9160864,3.395625075,0.000176093,50.7,3.4e-09,5.61e-05,1.47464860165806,2.15961633254495
PNPLA8,79.08267271,-0.527369565,0.57699378,705.7463292,1.939764872,0.01533363,275.0493848,3.541833497,2.72e-06,50.6,3.56e-09,5.88e-05,1.93976487153338,2.43089380207188
KLK4,35.88064278,-4.470048855,3.37e-06,221.1828829,1.557516207,0.044678546,152.1325556,1.379116841,0.161940941,50.6,3.56e-09,5.88e-05,1.37911684103736,0.897802856896727
HIST4H4,399.5963233,1.484196867,0.069910175,244.5770757,2.559687361,0.00376331,759.1750937,3.147481174,9.64e-05,50.5,3.73e-09,6.15e-05,2.55968736133775,2.54880522892234
MROH2B,41.69030919,-0.672818191,0.47407308,740.8209136,4.260406579,5.98e-07,290.5622684,1.462801946,0.090843,50.4,3.91e-09,6.45e-05,1.46280194594358,2.91001443639393
